GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,AREANAME,CENCNTY,CBD,SEA,C24001,C24002,C24003,C24004,C24005,C24006,C24007,C24008,C24009,C24010,C24011,C24012,C24013,C24014,C24015,C24016
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,"Autauga","1",,"05",159,190,215,402,1399,1373,1643,168,85,112,141,316,677,856,875,81
"G0100030","1970","Alabama","01","Baldwin","003",,,,,"5160",,"Baldwin","1",,"08",451,585,483,1006,3030,2942,4719,685,167,384,432,572,1415,1761,2619,266
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,"Barbour","1",,"09",141,213,254,387,902,990,1777,237,58,105,190,303,567,713,1248,123
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,"Bibb","1",,"05",103,113,147,245,661,598,1035,151,24,57,58,135,351,387,539,54
"G0100090","1970","Alabama","01","Blount","009",,,,,,,"Blount","1",,"02",145,221,256,456,1619,1294,2286,291,43,156,204,196,704,630,997,65
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,"Bullock","1",,"06",60,118,100,150,404,406,828,127,29,54,38,86,318,330,598,39
"G0100130","1970","Alabama","01","Butler","013",,,,,,,"Butler","1",,"09",130,263,215,386,952,890,1815,209,66,133,191,211,552,637,1241,154
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,"Calhoun","1",,"03",642,1253,2075,2517,5607,5113,7862,600,272,1469,1388,1564,3019,3354,4397,351
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,"Chambers","1",,"04",288,384,388,524,1864,1559,3310,320,105,273,252,541,1301,1295,2707,142
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,"Cherokee","1",,"03",69,151,144,264,837,829,1355,127,47,81,186,204,497,544,572,45
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,"Chilton","1",,"05",140,223,277,484,1310,1179,2123,213,51,137,177,202,458,589,957,81
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,"Choctaw","1",,"07",68,113,185,252,904,650,1069,112,29,48,64,120,401,374,493,20
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,"Clarke","1",,"07",128,237,197,494,1436,1223,1849,258,44,91,121,193,646,575,1056,102
"G0100270","1970","Alabama","01","Clay","027",,,,,,,"Clay","1",,"04",23,86,147,270,590,569,1000,135,37,103,83,142,335,398,675,84
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,"Cleburne","1",,"04",80,124,92,210,670,558,811,67,78,105,100,184,375,311,441,10
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,"Coffee","1",,"09",216,259,501,931,2047,1816,2799,344,93,207,323,470,1078,1049,1549,99
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,"Colbert","1",,"01",312,317,347,886,2712,2641,4171,349,104,176,369,456,1167,1350,2004,192
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,"Conecuh","1",,"09",101,173,129,255,630,565,1182,195,27,141,94,211,313,446,753,81
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,"Coosa","1",,"04",36,152,131,197,511,443,903,101,11,78,63,151,300,318,545,29
"G0100390","1970","Alabama","01","Covington","039",,,,,,,"Covington","1",,"09",274,286,308,527,1395,1714,2988,429,146,209,263,353,1131,1119,2228,136
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,"Crenshaw","1",,"09",69,140,141,170,630,447,1181,137,10,50,85,178,341,382,658,58
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,"Cullman","1",,"02",366,549,538,918,2904,2612,4444,472,139,394,459,527,1340,1421,2171,161
"G0100450","1970","Alabama","01","Dale","045",,,,,,,"Dale","1",,"09",503,1863,4239,3660,4269,2470,2467,297,102,274,371,551,1238,939,1140,59
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,"Dallas","1",,"06",290,459,710,1365,2803,2118,3620,513,103,404,357,649,1550,1520,2529,426
"G0100490","1970","Alabama","01","DeKalb","049",,,,,"5160",,"De Kalb","1",,"02",185,330,405,619,2046,2093,3455,465,79,223,254,413,1088,1213,1594,85
"G0100510","1970","Alabama","01","Elmore","051",,,,,"5240",,"Elmore","0",,"05",183,297,219,598,1848,1427,2662,337,92,179,220,306,1008,998,1601,157
"G0100530","1970","Alabama","01","Escambia","053",,,,,"5240",,"Escambia","1",,"08",154,354,253,531,1669,1617,2477,247,82,237,238,366,986,1057,1556,132
"G0100550","1970","Alabama","01","Etowah","055",,,,,"2880",,"Etowah","0",,"03",546,873,813,1659,4845,4601,8706,651,185,530,816,918,2108,2822,4401,368
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,"Fayette","1",,"05",94,154,203,272,790,761,1384,201,37,109,154,116,547,507,741,102
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,"Franklin","1",,"05",94,216,264,429,1304,1292,1911,194,99,127,158,308,699,620,886,53
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,"Geneva","1",,"09",90,242,289,427,1251,922,1989,276,91,161,186,207,823,656,1065,137
"G0100630","1970","Alabama","01","Greene","063",,,,,,,"Greene","1",,"06",28,71,36,72,330,385,650,206,15,48,42,44,199,226,448,81
"G0100650","1970","Alabama","01","Hale","065",,,,,,,"Hale","1",,"06",90,100,120,130,529,518,1053,177,15,81,92,141,318,400,569,74
"G0100670","1970","Alabama","01","Henry","067",,,,,,,"Henry","1",,"09",62,123,155,307,583,524,1210,144,38,116,88,122,354,338,670,62
"G0100690","1970","Alabama","01","Houston","069",,,,,,,"Houston","1",,"09",478,576,544,1075,3190,3096,4642,510,177,446,579,638,2130,2016,2814,203
"G0100710","1970","Alabama","01","Jackson","071",,,,,"2880",,"Jackson","1",,"02",305,418,432,713,2392,1940,2828,305,85,278,363,512,1261,1064,1421,77
"G0100730","1970","Alabama","01","Jefferson","073",,,,,"1000",,"Jefferson","0",,"A",3528,6021,5822,10544,32867,33386,55184,6062,1443,3995,6163,8438,18685,20030,32875,3799
"G0100750","1970","Alabama","01","Lamar","075",,,,,,,"Lamar","1",,"05",122,134,116,204,778,641,1181,170,48,109,106,145,494,506,756,88
"G0100770","1970","Alabama","01","Lauderdale","077",,,,,,,"Lauderdale","1",,"01",372,566,773,1129,3890,3604,5611,566,138,427,542,649,1824,1889,2866,249
"G0100790","1970","Alabama","01","Lawrence","079",,,,,,,"Lawrence","1",,"01",170,299,315,563,1571,1345,1901,224,85,116,145,277,661,754,999,74
"G0100810","1970","Alabama","01","Lee","081",,,,,"1000",,"Lee","1",,"04",413,646,1139,1451,3342,2584,3754,391,137,678,1118,1287,2126,1803,2857,255
"G0100830","1970","Alabama","01","Limestone","083",,,,,"3440",,"Limestone","1",,"01",288,475,481,743,2530,2105,3167,404,136,265,341,431,1100,1186,1590,143
"G0100850","1970","Alabama","01","Lowndes","085",,,,,,,"Lowndes","1",,"06",51,97,124,168,482,360,764,186,2,70,60,101,281,272,398,48
"G0100870","1970","Alabama","01","Macon","087",,,,,,,"Macon","1",,"05",99,174,236,302,886,610,1631,228,57,123,222,272,688,681,1202,107
"G0100890","1970","Alabama","01","Madison","089",,,,,"3440",,"Madison","0",,"F",1250,1866,2618,3987,13155,12277,13001,836,540,1318,1797,2641,6683,5812,6683,539
"G0100910","1970","Alabama","01","Marengo","091",,,,,,,"Marengo","1",,"06",122,231,161,351,995,984,1645,243,56,78,148,234,628,583,1143,106
"G0100930","1970","Alabama","01","Marion","093",,,,,,,"Marion","1",,"05",149,178,215,382,1321,1144,1805,175,77,173,177,275,745,919,1154,85
"G0100950","1970","Alabama","01","Marshall","095",,,,,"3440",,"Marshall","1",,"02",303,514,506,925,3039,3039,4364,401,151,374,421,586,1470,1740,2162,141
"G0100970","1970","Alabama","01","Mobile","097",,,,,"5160",,"Mobile","0",,"D",1667,2885,3219,5503,16986,15495,23985,2535,664,1638,2555,3624,8561,9137,13662,1448
"G0100990","1970","Alabama","01","Monroe","099",,,,,"5160",,"Monroe","1",,"09",94,174,193,302,1101,797,1534,300,54,120,177,190,618,497,949,88
"G0101010","1970","Alabama","01","Montgomery","101",,,,,"5240",,"Montgomery","0",,"C",1077,1363,1661,3108,8353,8871,13192,1506,574,1120,1629,2290,5667,5892,9668,1167
"G0101030","1970","Alabama","01","Morgan","103",,,,,,,"Morgan","1",,"01",500,481,722,1525,4982,4322,5896,472,140,441,575,887,2090,2412,3158,227
"G0101050","1970","Alabama","01","Perry","105",,,,,,,"Perry","1",,"06",86,133,122,164,527,569,1066,224,36,99,114,117,385,393,683,96
"G0101070","1970","Alabama","01","Pickens","107",,,,,,,"Pickens","1",,"05",147,176,233,272,894,902,1477,199,70,68,136,210,654,708,1039,66
"G0101090","1970","Alabama","01","Pike","109",,,,,,,"Pike","1",,"09",144,280,500,435,1064,984,1985,346,32,267,348,398,718,673,1376,147
"G0101110","1970","Alabama","01","Randolph","111",,,,,"5240",,"Randolph","1",,"04",128,153,167,331,920,840,1410,159,95,112,117,209,602,657,1043,84
"G0101130","1970","Alabama","01","Russell","113",,,,,"1800",,"Russell","1",,"B",255,492,502,1078,2446,2104,3323,369,97,216,412,575,1523,1493,2179,165
"G0101150","1970","Alabama","01","St Clair","115",,,,,"1800",,"St Clair","1",,"03",224,278,238,443,1696,1337,2075,161,66,106,137,269,763,609,1001,151
"G0101170","1970","Alabama","01","Shelby","117",,,,,"1000",,"Shelby","1",,"03",255,435,403,683,2259,1820,2824,357,57,368,350,518,1003,961,1451,143
"G0101190","1970","Alabama","01","Sumter","119",,,,,,,"Sumter","1",,"06",46,200,248,213,567,587,1060,190,19,91,107,148,311,396,622,84
"G0101210","1970","Alabama","01","Talladega","121",,,,,,,"Talladega","1",,"03",477,641,584,1200,3324,3157,4949,508,143,379,486,705,1903,2133,3163,295
"G0101230","1970","Alabama","01","Tallapoosa","123",,,,,"1000",,"Tallapoosa","1",,"04",210,393,355,595,1715,1701,2866,290,89,248,245,522,1191,1232,2116,136
"G0101250","1970","Alabama","01","Tuscaloosa","125",,,,,"8600",,"Tuscaloosa","0",,"E",644,1157,1464,2302,5492,5099,7695,853,190,843,1452,1837,3317,3660,4648,446
"G0101270","1970","Alabama","01","Walker","127",,,,,"1000",,"Walker","1",,"03",311,508,463,956,2963,2741,4148,312,65,254,320,530,1380,1400,2040,175
"G0101290","1970","Alabama","01","Washington","129",,,,,,,"Washington","1",,"07",66,122,164,269,879,731,1069,152,13,69,81,114,383,364,467,54
"G0101310","1970","Alabama","01","Wilcox","131",,,,,,,"Wilcox","1",,"06",42,78,150,246,648,501,1054,143,12,48,89,98,349,325,596,75
"G0101330","1970","Alabama","01","Winston","133",,,,,"1000",,"Winston","1",,"05",86,161,179,371,1113,809,1464,123,56,73,132,160,480,417,559,0
"G0200100","1970","Alaska","02","Aleutian Islands","010",,,,,,,"Aleutian Islands","1",,"01",5,289,1011,1059,1063,528,399,19,0,18,56,52,103,64,111,0
"G0200200","1970","Alaska","02","Anchorage","020",,,,,,,"Anchorage","1",,"01",875,1456,3320,4584,10749,8862,8042,406,501,1024,1357,2205,5163,4216,4211,210
"G0200300","1970","Alaska","02","Angoon","030",,,,,,,"Angoon","1",,"01",0,0,0,5,24,0,11,0,0,0,0,0,16,3,0,0
"G0200400","1970","Alaska","02","Barrow","040",,,,,,,"Barrow","1",,"01",0,15,55,61,165,120,123,8,11,2,18,10,64,27,34,0
"G0200500","1970","Alaska","02","Bethel","050",,,,,,,"Bethel","1",,"01",34,16,49,102,281,264,202,4,39,45,54,70,154,90,70,1
"G0200600","1970","Alaska","02","Bristol Bay Borough","060",,,,,,,"Bristol Bay Borough","1",,"01",0,30,115,130,131,118,76,0,0,0,0,0,40,5,13,0
"G0200700","1970","Alaska","02","Dillingham","070",,,,,,,"Bristol Bay Division","1",,"01",4,5,4,23,153,111,104,0,7,6,12,27,77,71,59,0
"G0200800","1970","Alaska","02","Cordova-McCarthy","080",,,,,,,"Cordova-Mc Carthy","1",,"01",19,24,32,27,148,125,209,19,12,4,14,22,47,39,94,5
"G0200900","1970","Alaska","02","Fairbanks North Star","090",,,,,,,"Fairbanks","1",,"01",267,944,3204,2648,4186,2971,2580,207,137,399,548,971,1474,1088,1114,38
"G0201000","1970","Alaska","02","Haines","100",,,,,,,"Haines","1",,"01",12,4,9,13,121,100,144,14,0,10,12,13,26,33,16,9
"G0201100","1970","Alaska","02","Juneau","110",,,,,,,"Juneau","1",,"01",174,160,120,189,1042,884,1244,117,139,118,128,157,670,563,832,78
"G0201200","1970","Alaska","02","Kenai-Cook Inlet","120",,,,,,,"Kenai-Cook Inlet","1",,"01",89,85,178,289,1123,1112,1032,74,69,95,78,75,387,396,324,11
"G0201300","1970","Alaska","02","Ketchikan Gateway","130",,,,,,,"Ketchikan","1",,"01",93,109,102,164,843,551,855,100,94,42,102,62,275,282,457,54
"G0201400","1970","Alaska","02","Kobuk","140",,,,,,,"Kobuk","1",,"01",8,15,23,47,199,107,138,6,5,6,10,23,85,66,77,21
"G0201500","1970","Alaska","02","Kodiak Island","150",,,,,,,"Kodiak","1",,"01",49,141,557,383,852,590,544,69,26,49,92,189,322,264,277,22
"G0201600","1970","Alaska","02","Kuskokwim","160",,,,,,,"Kuskokwim","1",,"01",0,8,46,91,127,140,70,7,6,6,0,17,25,21,32,0
"G0201700","1970","Alaska","02","Matanuska-Susitna","170",,,,,,,"Matanuska-Susitna","1",,"01",31,27,40,32,377,385,551,50,13,58,6,12,120,168,220,7
"G0201800","1970","Alaska","02","Nome","180",,,,,,,"Nome","1",,"01",27,9,95,69,323,191,289,39,43,13,43,64,139,117,151,5
"G0201900","1970","Alaska","02","Outer Ketchikan","190",,,,,,,"Outer Ketchikan","1",,"01",0,15,35,48,194,109,87,46,0,0,20,6,46,8,14,0
"G0202000","1970","Alaska","02","Prince Of Wales","200",,,,,,,"Prince Of Wales","1",,"01",17,27,15,38,218,157,247,4,0,0,0,6,27,21,50,0
"G0202100","1970","Alaska","02","Seward","210",,,,,,,"Seward","1",,"01",0,34,24,36,95,95,202,25,5,21,7,21,47,64,101,14
"G0202200","1970","Alaska","02","Sitka","220",,,,,,,"Sitka","1",,"01",42,52,109,147,491,407,499,42,21,51,68,86,283,230,313,30
"G0202300","1970","Alaska","02","Skagway-Yakutat","230",,,,,,,"Skagway-Yakutat","1",,"01",25,7,0,42,173,55,155,35,22,0,21,20,86,39,68,0
"G0202400","1970","Alaska","02","Southeast Fairbanks","240",,,,,,,"Southeast Fairbanks","1",,"01",6,123,307,281,393,236,223,22,0,0,34,67,159,63,70,0
"G0202500","1970","Alaska","02","Upper Yukon","250",,,,,,,"Upper Yukon","1",,"01",0,10,27,71,158,145,148,0,0,0,4,3,25,32,36,4
"G0202600","1970","Alaska","02","Valdez-Chitina-Whittier","260",,,,,,,"Valdez-Chitina-Whittier","1",,"01",13,36,8,60,240,191,284,10,30,18,6,47,98,115,140,10
"G0202700","1970","Alaska","02","Wade Hampton","270",,,,,,,"Wade Hampton","1",,"01",0,20,35,135,71,104,82,11,0,14,7,32,53,27,28,0
"G0202800","1970","Alaska","02","Wrangell-Petersburg","280",,,,,,,"Wrangell-Petersburg","1",,"01",15,45,47,79,319,301,407,48,38,20,19,89,129,132,224,6
"G0202900","1970","Alaska","02","Yukon-Koyukuk","290",,,,,,,"Yukon-Koyukuk","1",,"01",46,28,168,207,464,323,295,14,29,16,14,62,87,76,52,18
"G0400010","1970","Arizona","04","Apache","001",,,,,,,"Apache","1",,"01",83,187,145,350,1350,1081,1135,104,54,58,95,315,833,528,536,38
"G0400030","1970","Arizona","04","Cochise","003",,,,,,,"Cochise","1",,"02",472,719,1731,1984,3059,3380,4911,443,249,336,452,566,1300,1387,2304,177
"G0400050","1970","Arizona","04","Coconino","005",,,,,,,"Coconino","1",,"01",182,520,715,1104,2500,2318,2899,213,181,562,797,678,1322,1134,1618,89
"G0400070","1970","Arizona","04","Gila","007",,,,,,,"Gila","1",,"01",163,274,218,447,1468,1477,2614,222,86,113,103,269,489,582,999,152
"G0400090","1970","Arizona","04","Graham","009",,,,,,,"Graham","1",,"02",225,162,132,199,705,804,1102,190,50,98,68,100,225,341,596,61
"G0400110","1970","Arizona","04","Greenlee","011",,,,,,,"Greenlee","1",,"02",113,49,57,156,503,596,1202,100,5,47,35,45,158,203,336,57
"G0400130","1970","Arizona","04","Maricopa","013",,,,,"6200",,"Maricopa","0",,"A",8559,10786,11119,19751,56560,50796,74726,7986,4527,8907,9946,13403,29205,28521,46837,4553
"G0400150","1970","Arizona","04","Mohave","015",,,,,,,"Mohave","1",,"01",199,184,154,310,1512,1246,2576,256,88,72,108,179,639,672,1212,114
"G0400170","1970","Arizona","04","Navajo","017",,,,,"6200",,"Navajo","1",,"01",236,268,279,542,2111,1881,2739,307,121,160,262,368,1084,1081,1265,105
"G0400190","1970","Arizona","04","Pima","019",,,,,"8520",,"Pima","0",,"B",2598,3809,4947,7617,18860,17259,26383,2818,1532,2621,2873,4109,8768,8687,15400,1812
"G0400210","1970","Arizona","04","Pinal","021",,,,,,,"Pinal","1",,"02",446,579,430,1001,3470,3247,4879,555,224,334,297,506,1568,1403,2079,290
"G0400230","1970","Arizona","04","Santa Cruz","023",,,,,,,"Santa Cruz","1",,"02",131,86,94,127,610,696,1055,132,38,116,104,139,299,379,516,80
"G0400250","1970","Arizona","04","Yavapai","025",,,,,,,"Yavapai","1",,"01",289,283,174,346,1605,1518,3291,460,155,167,144,156,676,875,2078,223
"G0400270","1970","Arizona","04","Yuma","027",,,,,"8520",,"Yuma","1",,"02",490,1028,1520,1658,3580,3062,4914,482,306,465,527,614,1493,1625,2321,179
"G0500010","1970","Arkansas","05","Arkansas","001",,,,,,,"Arkansas","1",,"07",189,199,177,374,1218,1029,1997,370,55,158,185,253,581,634,1096,167
"G0500030","1970","Arkansas","05","Ashley","003",,,,,,,"Ashley","1",,"06",73,185,221,349,1453,1141,1919,289,62,100,152,192,598,573,1006,85
"G0500050","1970","Arkansas","05","Baxter","005",,,,,,,"Baxter","1",,"09",62,81,86,202,554,557,1082,169,11,78,76,106,247,510,735,83
"G0500070","1970","Arkansas","05","Benton","007",,,,,,,"Benton","1",,"01",423,520,483,911,2679,2338,4250,603,202,393,431,672,1507,1299,2487,380
"G0500090","1970","Arkansas","05","Boone","009",,,,,,,"Boone","1",,"09",88,175,160,245,946,932,1539,217,75,77,194,195,546,566,924,147
"G0500110","1970","Arkansas","05","Bradley","011",,,,,,,"Bradley","1",,"06",65,117,92,140,479,523,1117,210,15,51,33,64,335,315,490,105
"G0500130","1970","Arkansas","05","Calhoun","013",,,,,,,"Calhoun","1",,"06",6,63,64,98,254,202,479,48,4,6,37,73,154,114,272,21
"G0500150","1970","Arkansas","05","Carroll","015",,,,,,,"Carroll","1",,"09",59,105,94,223,591,494,1166,188,39,79,102,140,334,368,690,68
"G0500170","1970","Arkansas","05","Chicot","017",,,,,,,"Chicot","1",,"08",48,108,78,216,672,598,1236,299,35,50,82,143,437,465,816,89
"G0500190","1970","Arkansas","05","Clark","019",,,,,,,"Clark","1",,"06",119,399,396,485,968,808,1623,203,16,371,446,213,489,494,1017,139
"G0500210","1970","Arkansas","05","Clay","021",,,,,,,"Clay","1",,"07",97,109,78,301,900,756,1604,227,37,97,97,174,477,475,755,87
"G0500230","1970","Arkansas","05","Cleburne","023",,,,,,,"Cleburne","1",,"09",47,101,32,160,369,472,771,115,24,45,70,67,270,254,357,52
"G0500250","1970","Arkansas","05","Cleveland","025",,,,,,,"Cleveland","1",,"06",20,52,58,100,278,308,540,100,15,18,27,35,150,115,262,36
"G0500270","1970","Arkansas","05","Columbia","027",,,,,,,"Columbia","1",,"05",167,331,322,469,1152,1084,2111,331,44,253,329,239,608,736,1383,156
"G0500290","1970","Arkansas","05","Conway","029",,,,,,,"Conway","1",,"03",107,138,97,281,816,762,1324,161,8,107,99,108,472,521,726,76
"G0500310","1970","Arkansas","05","Craighead","031",,,,,,,"Craighead","1",,"07",280,578,753,986,2793,2447,3893,548,129,613,619,827,1652,1671,2384,207
"G0500330","1970","Arkansas","05","Crawford","033",,,,,"2720",,"Crawford","1",,"02",186,273,181,487,1349,1268,1971,229,74,178,193,278,723,621,1145,91
"G0500350","1970","Arkansas","05","Crittenden","035",,,,,"4920",,"Crittenden","1",,"08",290,398,341,738,2422,2097,3153,429,100,245,330,447,1404,1147,1764,178
"G0500370","1970","Arkansas","05","Cross","037",,,,,,,"Cross","1",,"07",114,163,173,324,948,825,1442,165,45,144,174,248,529,560,857,157
"G0500390","1970","Arkansas","05","Dallas","039",,,,,,,"Dallas","1",,"06",71,79,71,152,493,390,853,111,26,53,87,100,210,267,469,37
"G0500410","1970","Arkansas","05","Desha","041",,,,,,,"Desha","1",,"08",119,155,108,215,797,667,1367,268,36,100,152,227,424,587,867,127
"G0500430","1970","Arkansas","05","Drew","043",,,,,,,"Drew","1",,"06",83,206,246,348,769,550,1013,189,38,141,184,178,444,363,757,67
"G0500450","1970","Arkansas","05","Faulkner","045",,,,,,,"Faulkner","1",,"03",80,426,441,532,1577,1182,2350,359,67,353,446,287,823,772,1468,166
"G0500470","1970","Arkansas","05","Franklin","047",,,,,,,"Franklin","1",,"02",123,107,91,149,529,476,896,129,12,35,84,72,224,221,543,57
"G0500490","1970","Arkansas","05","Fulton","049",,,,,,,"Fulton","1",,"09",6,41,48,77,297,253,575,63,18,61,61,70,159,222,331,51
"G0500510","1970","Arkansas","05","Garland","051",,,,,,,"Garland","1",,"04",276,437,376,817,2326,2320,4257,689,144,275,414,524,1369,1618,3054,487
"G0500530","1970","Arkansas","05","Grant","053",,,,,,,"Grant","1",,"06",39,63,93,195,518,506,756,87,15,65,89,107,237,264,376,35
"G0500550","1970","Arkansas","05","Greene","055",,,,,,,"Greene","1",,"07",121,182,289,406,1195,1209,1939,295,59,125,188,234,793,827,1069,131
"G0500570","1970","Arkansas","05","Hempstead","057",,,,,,,"Hempstead","1",,"05",145,127,170,352,881,807,1695,400,40,92,91,211,495,560,1131,209
"G0500590","1970","Arkansas","05","Hot Spring","059",,,,,,,"Hot Spring","1",,"04",97,225,200,407,1167,1065,2135,206,73,89,151,151,485,670,1075,89
"G0500610","1970","Arkansas","05","Howard","061",,,,,,,"Howard","1",,"05",64,73,71,185,568,488,1116,178,33,42,71,104,303,262,603,92
"G0500630","1970","Arkansas","05","Independence","063",,,,,,,"Independence","1",,"03",68,181,222,392,1080,1100,1894,290,26,119,191,246,679,616,945,138
"G0500650","1970","Arkansas","05","Izard","065",,,,,,,"Izard","1",,"09",45,43,67,94,368,291,600,172,17,20,39,64,202,166,320,46
"G0500670","1970","Arkansas","05","Jackson","067",,,,,"4920",,"Jackson","1",,"07",94,186,221,316,993,849,1624,287,43,45,151,174,535,547,1015,59
"G0500690","1970","Arkansas","05","Jefferson","069",,,,,"6240",,"Jefferson","0",,"08",483,601,791,1355,4081,3691,6668,761,261,528,638,937,2063,2451,3716,496
"G0500710","1970","Arkansas","05","Johnson","071",,,,,,,"Johnson","1",,"02",57,104,145,247,651,519,1043,220,49,89,89,142,225,328,686,70
"G0500730","1970","Arkansas","05","Lafayette","073",,,,,,,"Lafayette","1",,"05",48,72,55,180,431,387,800,145,18,23,36,82,175,257,484,47
"G0500750","1970","Arkansas","05","Lawrence","075",,,,,,,"Lawrence","1",,"07",72,204,138,290,732,646,1314,186,27,186,134,170,343,476,741,61
"G0500770","1970","Arkansas","05","Lee","077",,,,,,,"Lee","1",,"08",65,168,152,240,649,657,960,164,57,105,96,175,364,387,564,66
"G0500790","1970","Arkansas","05","Lincoln","079",,,,,,,"Lincoln","1",,"08",83,101,84,154,539,425,788,172,12,84,99,122,270,272,413,15
"G0500810","1970","Arkansas","05","Little River","081",,,,,,,"Little River","1",,"05",67,100,82,268,595,491,866,147,30,74,85,113,245,309,460,83
"G0500830","1970","Arkansas","05","Logan","083",,,,,,,"Logan","1",,"02",79,112,166,257,772,653,1353,198,46,88,143,149,316,374,850,93
"G0500850","1970","Arkansas","05","Lonoke","085",,,,,,,"Lonoke","1",,"07",114,147,205,450,1267,1258,2186,298,55,105,202,250,677,734,1140,123
"G0500870","1970","Arkansas","05","Madison","087",,,,,,,"Madison","1",,"09",40,89,69,92,377,418,747,144,25,64,31,95,225,234,425,30
"G0500890","1970","Arkansas","05","Marion","089",,,,,"6240",,"Marion","1",,"09",28,11,57,45,186,299,562,52,16,27,41,42,97,155,375,9
"G0500910","1970","Arkansas","05","Miller","091",,,,,"8360",,"Miller","0",,"05",197,313,344,574,1786,1558,2611,420,93,180,220,463,879,931,1724,260
"G0500930","1970","Arkansas","05","Mississippi","093",,,,,,,"Mississippi","1",,"08",369,688,826,1323,3080,2863,4276,533,192,417,486,607,1593,1781,2539,279
"G0500950","1970","Arkansas","05","Monroe","095",,,,,,,"Monroe","1",,"07",51,88,113,211,572,523,1076,143,30,77,63,136,371,360,612,76
"G0500970","1970","Arkansas","05","Montgomery","097",,,,,,,"Montgomery","1",,"04",34,33,35,55,261,217,479,105,20,34,29,33,135,165,250,45
"G0500990","1970","Arkansas","05","Nevada","099",,,,,,,"Nevada","1",,"05",68,105,97,117,396,335,828,206,53,22,59,36,143,309,507,76
"G0501010","1970","Arkansas","05","Newton","101",,,,,,,"Newton","1",,"09",17,36,46,111,194,234,373,27,16,34,25,13,106,112,166,11
"G0501030","1970","Arkansas","05","Ouachita","103",,,,,,,"Ouachita","1",,"06",134,218,276,489,1328,1499,2534,424,75,170,235,289,778,985,1613,171
"G0501050","1970","Arkansas","05","Perry","105",,,,,,,"Perry","1",,"04",25,36,33,83,286,200,453,35,9,37,34,33,98,91,225,26
"G0501070","1970","Arkansas","05","Phillips","107",,,,,,,"Phillips","1",,"08",205,304,233,493,1580,1493,2605,434,110,157,176,385,966,909,1546,222
"G0501090","1970","Arkansas","05","Pike","109",,,,,,,"Pike","1",,"04",37,28,80,135,426,386,796,66,16,47,52,46,203,169,417,49
"G0501110","1970","Arkansas","05","Poinsett","111",,,,,,,"Poinsett","1",,"07",130,261,264,454,1328,1149,2005,261,57,126,234,303,824,661,1018,80
"G0501130","1970","Arkansas","05","Polk","113",,,,,,,"Polk","1",,"04",110,89,116,174,507,605,1090,261,18,60,58,100,288,312,684,61
"G0501150","1970","Arkansas","05","Pope","115",,,,,,,"Pope","1",,"02",253,454,398,513,1697,1316,2197,234,118,304,291,402,891,751,1345,145
"G0501170","1970","Arkansas","05","Prairie","117",,,,,"8360",,"Prairie","1",,"07",31,77,110,181,439,497,798,143,14,62,57,69,222,280,373,24
"G0501190","1970","Arkansas","05","Pulaski","119",,,,,"4400",,"Pulaski","0",,"A",1632,2228,3580,6465,17981,14446,22283,2721,783,2156,2891,4792,10001,9462,15436,1837
"G0501210","1970","Arkansas","05","Randolph","121",,,,,,,"Randolph","1",,"03",43,82,106,152,506,583,976,142,38,101,98,89,374,368,607,45
"G0501230","1970","Arkansas","05","St Francis","123",,,,,,,"St Francis","1",,"08",123,299,277,476,1473,1180,2018,277,71,220,244,357,874,904,1251,134
"G0501250","1970","Arkansas","05","Saline","125",,,,,"4400",,"Saline","1",,"04",172,265,344,647,1990,2081,3031,217,82,285,211,410,1101,1126,1616,138
"G0501270","1970","Arkansas","05","Scott","127",,,,,,,"Scott","1",,"04",29,98,69,126,530,286,723,120,18,41,39,52,204,130,327,19
"G0501290","1970","Arkansas","05","Searcy","129",,,,,"4400",,"Searcy","1",,"09",16,84,74,105,301,288,599,79,12,45,87,64,162,199,275,20
"G0501310","1970","Arkansas","05","Sebastian","131",,,,,"2720",,"Sebastian","0",,"02",495,724,744,1573,4486,3993,6942,929,265,603,715,1077,2406,2316,4424,576
